genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
House,0,974,37,38,16
Techno,0,130,138,86,23
Trance,0,5166,97,1108,16
Trance,0,868,132,3694,2
Progressive House,0,680,117,1680,20
Deep House,0,241,245,146,12
Techno,0,45869,135,194,16
Trance,0,558150,409,3827,13
Deep House,0,1945,146,180,6
Electro House,0,4538,27,747,2
Trance,0,76,75,1,2
Techno,0,259,25,317,11
Techno,0,18,56,33,12
Progressive House,0,84,17,1416,6
House,0,787,10,5809,11
Trance,0,41,7,1680,13
Trance,0,43320,495,8,9
Trance,1,1115,51,22,58
Techno,0,33527,16,18,2
House,0,8,4,179,2
House,0,735,12,7,19
Trance,0,14298,2,781,16
Techno,0,69,74,29,9
Techno,0,388,67,4,23
Techno,0,3683,133,177,16
House,0,306,6,17,6
Deep House,1,33690,161,489,30
House,0,274,29,98,2
Deep House,0,1,24,1444,25
Deep House,0,359,96,250,10
Deep House,0,1945,146,180,27
Techno,0,16,16,1,6
Electro House,0,94100,18,392,6
Techno,0,588,54,59,11
Electro House,0,1546717,4,4689,27
Trance,0,5353,176,3694,13
House,0,396,24,11,9
Trance,0,67853,418,3694,9
Techno,0,5095,176,1041,16
Electro House,0,83,15,146,6
Deep House,0,604,36,410,19
Electro House,0,46,432,747,6
House,0,4053,538,6207,23
Techno,0,628,84,361,9
Progressive House,0,694,197,1249,30
Techno,0,34,7,10,16
Electro House,0,550,153,3241,10
Trance,0,1,16,4,30
House,0,141,89,2963,12
House,0,4628,47,638,10
Techno,0,7479,355,126,9
Deep House,0,1897,269,191,18
Trance,1,1371,193,113,30
Trance,0,3285,36,200,37
Progressive House,0,945,65,170,23
House,0,193,73,15,2
Electro House,0,7077,71,392,6
Trance,0,33192,163,3694,9
Trance,0,62638,472,1017,23
Progressive House,1,26868,570,22,23
Techno,0,204,126,158,30
House,0,1078,133,1105,9
Progressive House,0,4722,21,127,17
Deep House,0,8794,42,3,37
House,0,260,35,1214,20
Deep House,0,3750,43,2963,2
Trance,0,288,37,1249,23
Techno,0,24,24,996,19
House,0,356,1,243,14
Techno,0,153,2,198,6
House,1,68854,671,719,44
House,0,1259,130,435,19
Progressive House,0,3554,139,904,2
Progressive House,0,153,6,58,10
House,0,114,36,237,5
House,0,687,45,7,16
Progressive House,0,260,82,93,16
Deep House,0,1559,700,1071,24
Techno,0,338,22,24,16
Techno,0,55669,197,257,16
Deep House,0,981,26,26,16
Deep House,0,173,43,225,23
Techno,0,3694,156,303,9
Techno,0,40198,32,2,9
Electro House,0,15360,541,178,23
House,0,15629,337,2963,17
Techno,0,1232,85,15,2
Progressive House,0,5501,10,5809,7
House,0,180,54,151,0
Trance,0,11836,255,3694,9
Electro House,0,44301,28,1680,20
Techno,0,520,82,436,16
House,0,887,32,380,20
Electro House,0,2205,42,40,25
Electro House,0,7,242,17,6
House,0,502,298,5809,0
House,0,17179,516,66,13
Electro House,0,72,10,57,20
Electro House,0,543,46,120,16
House,0,24365,124,336,2
Deep House,0,409,153,2206,20
House,0,821,599,216,3
House,0,9,42,97,6
Trance,1,15751,245,133,23
Deep House,0,114,122,3241,8
Deep House,1,146,44,650,34
Deep House,0,106,210,36,23
House,0,5065,30,5809,6
Trance,0,2,65,9110,20
Trance,0,15789,280,1053,38
Deep House,1,3160,85,150,65
Deep House,1,258,2,98,58
Techno,0,511,219,233,23
Trance,0,26187,31,219,37
Trance,0,558150,409,8,9
House,0,9,151,275,2
House,0,3,66,37,5
Electro House,0,23125,10,1680,20
Progressive House,0,4324,7,220,16
Progressive House,0,3296,258,26,17
Deep House,0,600,371,237,16
Techno,0,1522,208,1093,16
Techno,1,2209,28,243,33
Deep House,0,22,10,305,4
Techno,0,172,13,66,16
Deep House,1,320,245,69,30
Deep House,0,129,150,2963,2
Progressive House,0,83,131,2963,17
House,0,5540,5,11,13
Electro House,0,118,83,319,19
Trance,0,1372,113,90,16
House,0,69653,488,2385,30
House,0,145,24,1786,6
House,0,752,31,480,30
House,0,362,36,228,9
Electro House,0,869,11,61,3
Deep House,0,46021,81,1105,9
Progressive House,0,3818,115,340,30
Techno,0,181,132,66,9
Techno,0,7669,51,130,30
Techno,0,37273,370,706,16
Trance,0,6,602,855,6
Deep House,0,13607,34,17,6
Deep House,0,34185,17,2963,17
Trance,0,14,76,105,16
Electro House,0,14,8,1030,2
Trance,0,26187,31,14,9
Trance,0,1580,47,350,16
Electro House,1,308,53,314,58
Techno,0,146,35,1413,10
House,0,481,1,69,30
Trance,1,43321,495,4689,9
Techno,0,490,80,1,9
Deep House,0,57505,33,51,11
Progressive House,0,1533,121,95,17
House,0,4617,40,83,12
Techno,0,163,299,339,0
Trance,0,6,9,357,3
Progressive House,0,899,223,205,23
Trance,1,733,92,303,9
Trance,0,1272,118,16,9
House,0,1559,700,435,23
House,0,220,68,237,5
House,0,17,54,204,9
Trance,0,1580,47,5,23
Techno,1,33618,55,6,37
Techno,0,54,64,19,23
House,0,67,57,7,14
Trance,0,693,721,156,10
Trance,1,569,131,635,30
Electro House,0,528,8,123,9
House,0,426,567,16231,5
Electro House,0,188,124,747,6
House,0,520,79,209,12
Techno,0,39,66,6,2
Trance,0,664,185,351,16
House,0,1331,429,1621,16
House,0,14380,74,16231,6
Trance,0,1596,42,6,15
Progressive House,0,7347,10,1680,20
Electro House,0,22896,86,8,16
House,0,2452,23,179,2
Trance,1,3125,102,244,44
Trance,0,62638,472,3827,13
House,0,43509,36,1214,6
Trance,1,218,258,638,65
House,0,106126,548,2963,26
Techno,0,7525,10,489,30
House,0,3837,92,1621,16
Techno,0,629,20,317,23
House,0,368,201,111,34
Progressive House,0,4682,199,1214,20
Techno,0,1567,131,85,2
House,0,3485,60,60,9
Techno,0,908,15,186,25
Deep House,0,17,60,64,13
Deep House,0,48,26,937,13
Electro House,0,38,4,1030,2
House,0,2436,10,6,16
Trance,0,51204,130,352,17
House,0,652,220,3,20
Progressive House,0,118,1,4689,3
Techno,0,301,57,115,9
Trance,0,806,138,16,9
House,0,11142,53,52,9
Progressive House,0,206,28,1680,20
Deep House,0,753,24,47,32
Techno,0,3032,70,347,11
Trance,0,208,17,44,9
House,0,82521,324,179,33
House,0,292,5,5,6
House,0,611,45,109,3
Techno,1,183,103,555,30
Deep House,1,3333,25,1676,37
Deep House,0,303,186,1032,5
Electro House,0,2704,50,392,20
