Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,10,55,1,0,local police
male,,10,46,1,1,state police
male,,10,41,1,0,local police
male,,7,40,1,0,local police
female,75,24,39,0,0,local police
female,,6,29,0,0,local police
male,,15,40,1,0,local police
male,145,17,50,1,1,state police
male,,15,63,1,0,local police
female,,16,21,1,1,local police
male,135,16,23,1,0,local police
male,,15,20,1,0,local police
female,100,15,28,1,0,local police
male,75,17,39,0,0,state police
male,,16,23,0,0,local police
male,225,25,32,1,0,state police
female,75,16,57,1,0,local police
female,,5,52,0,0,local police
male,,12,50,1,1,local police
male,,15,22,1,0,local police
male,155,17,26,0,0,local police
female,225,25,51,1,0,local police
male,165,19,18,1,0,state police
male,,16,20,1,1,local police
female,,17,18,0,0,local police
male,125,15,26,1,0,local police
female,,13,25,0,0,local police
male,165,19,58,1,0,local police
male,175,20,58,1,0,state police
male,135,16,49,1,0,state police
male,,18,44,0,0,local police
female,165,19,61,1,1,state police
female,,10,18,1,0,local police
male,165,26,17,1,0,local police
male,75,10,34,1,1,state police
male,150,25,24,1,0,state police
female,,10,30,1,0,local police
male,,13,21,0,0,local police
male,75,10,54,1,0,state police
female,50,17,22,1,1,state police
male,75,17,37,1,0,state police
female,205,23,29,1,0,state police
female,,13,28,1,1,local police
female,,15,22,1,0,local police
female,,13,49,1,0,local police
male,,9,17,1,0,local police
male,165,19,32,1,0,state police
female,,10,49,1,0,state police
female,,14,42,1,0,local police
male,165,19,38,1,1,state police
male,75,15,30,1,1,local police
male,120,17,33,1,0,local police
male,75,10,33,1,1,state police
male,,10,21,0,0,local police
male,205,23,19,1,0,local police
female,,10,32,1,0,local police
female,75,10,31,1,0,local police
female,185,21,22,1,1,state police
male,150,20,26,0,0,local police
female,175,20,36,1,1,local police
female,,7,33,0,0,local police
male,,10,20,0,0,state police
female,,10,20,0,0,local police
male,,15,42,1,0,local police
male,,12,44,1,0,local police
female,,16,24,1,0,state police
male,,10,26,1,1,local police
female,,9,33,1,0,state police
female,,13,18,0,0,local police
female,,10,21,1,0,local police
male,,10,19,1,1,state police
male,,18,41,1,0,local police
female,,16,44,0,0,local police
male,,14,36,1,0,local police
female,200,40,32,1,0,state police
male,75,15,41,1,0,local police
female,,22,20,0,0,local police
male,,20,38,1,1,local police
