Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,,14,52,0,0,local police
male,,15,61,1,0,local police
male,,21,20,0,0,local police
male,215.0,24,25,1,0,state police
female,,16,53,0,0,local police
male,,16,57,1,0,local police
male,,15,35,0,0,local police
male,,14,17,0,0,local police
male,,15,35,0,0,local police
female,,15,17,0,0,local police
female,75.0,10,43,1,0,local police
male,75.0,10,39,1,0,local police
male,175.0,20,76,1,1,state police
male,125.0,15,21,1,0,state police
female,225.0,25,29,1,0,state police
male,,14,33,1,0,local police
female,,13,73,0,0,local police
male,75.0,20,19,1,0,local police
female,,17,42,1,0,local police
male,185.0,21,23,1,0,state police
female,,15,34,0,0,local police
male,125.0,15,20,1,0,state police
male,,13,26,1,0,local police
male,,15,46,0,0,local police
female,75.0,10,18,0,0,local police
male,,14,45,0,0,local police
male,275.0,30,31,1,0,state police
female,,15,53,0,0,local police
male,,13,22,0,0,local police
male,,13,18,1,0,local police
female,,15,31,0,0,local police
male,75.0,10,21,1,1,state police
female,,20,47,1,1,local police
female,,13,40,0,0,local police
male,155.0,18,39,1,0,state police
female,,10,52,1,0,local police
female,,15,45,1,0,local police
male,,10,19,1,1,state police
female,,14,22,0,0,local police
female,75.0,17,43,1,0,local police
male,,13,40,1,0,local police
male,75.0,10,25,1,0,state police
female,,15,32,1,1,local police
female,,15,41,0,0,local police
female,,15,22,1,0,local police
female,,15,74,0,0,local police
male,185.0,21,38,1,1,state police
male,,13,19,1,0,local police
female,,15,29,0,0,local police
male,185.0,21,34,1,1,state police
male,175.0,20,20,1,0,state police
male,125.0,15,37,1,1,state police
female,,13,55,1,0,local police
female,125.0,15,55,1,1,state police
male,,14,25,1,1,local police
female,,13,39,1,1,local police
male,75.0,10,24,1,0,local police
female,,13,58,0,0,local police
male,200.0,25,49,1,1,state police
male,,16,33,1,0,local police
male,75.0,10,21,1,0,local police
male,,15,36,1,0,local police
male,125.0,15,27,1,0,state police
male,,17,60,1,0,local police
male,75.0,20,34,1,0,local police
male,,15,28,0,0,local police
male,,15,56,1,0,local police
female,,10,46,1,0,local police
female,,15,55,1,0,local police
male,175.0,20,32,1,1,state police
female,,15,19,0,0,local police
male,125.0,15,46,1,1,local police
female,,11,22,1,0,local police
female,,15,40,1,1,local police
male,195.0,22,50,1,1,state police
female,,10,18,1,0,local police
female,,15,20,0,0,local police
male,150.0,20,17,1,1,state police
male,,16,51,1,0,local police
male,75.0,10,66,1,1,local police
male,75.0,10,46,0,0,local police
male,155.0,18,45,1,1,state police
female,,15,45,0,0,local police
male,75.0,25,40,1,1,local police
female,175.0,20,31,1,1,state police
male,,20,47,1,0,local police
male,75.0,10,23,1,1,local police
female,,16,18,0,0,local police
female,,15,40,0,0,local police
male,75.0,10,36,1,1,local police
male,185.0,21,21,1,1,state police
female,,13,32,1,0,local police
female,,15,54,1,0,local police
male,,10,26,1,0,local police
male,110.0,16,32,1,0,state police
female,,16,28,1,1,local police
female,75.0,15,25,1,1,state police
male,,21,20,1,1,local police
male,,15,41,1,0,local police
male,,15,31,1,1,local police
male,,14,19,0,0,local police
male,,15,52,1,0,local police
male,75.0,22,37,0,0,local police
female,75.0,10,41,0,0,local police
male,100.0,26,65,1,0,state police
female,75.0,10,60,0,0,local police
female,,15,26,0,0,local police
female,175.0,20,41,1,1,local police
male,,12,18,1,0,local police
female,,17,25,1,1,local police
male,,15,32,0,0,local police
female,,10,24,1,0,local police
male,75.0,10,30,1,1,state police
male,,15,29,1,1,local police
male,,19,49,0,0,local police
female,,12,44,0,0,local police
male,,15,35,0,0,local police
male,,15,45,0,0,local police
male,,15,35,1,0,local police
male,,15,23,1,1,local police
male,,10,22,1,1,local police
male,,11,73,0,0,local police
female,,10,18,1,0,local police
female,,16,21,1,1,local police
female,,12,51,0,0,local police
male,,2,21,1,0,local police
male,,10,19,1,0,local police
male,,14,29,1,0,local police
male,,11,17,1,0,local police
male,,12,22,1,0,state police
male,,12,22,1,1,local police
male,,14,21,1,1,local police
male,,12,33,1,0,local police
male,215.0,24,18,0,0,local police
male,,11,56,1,0,local police
female,,10,29,1,0,local police
female,,15,20,1,0,local police
male,,11,29,0,0,local police
male,120.0,17,23,1,0,state police
male,,13,22,1,0,local police
female,,10,36,1,1,local police
female,,11,20,0,0,local police
male,115.0,14,31,1,1,local police
male,,17,22,1,0,local police
female,,12,45,1,0,local police
male,,14,65,1,0,local police
female,,13,24,1,0,local police
male,,13,21,1,0,local police
female,,18,39,0,0,local police
male,,10,19,1,0,local police
male,,24,18,0,0,local police
female,,10,34,1,0,local police
female,,12,18,0,0,local police
male,,15,18,1,0,local police
male,,13,46,1,0,local police
female,,13,61,0,0,local police
female,,15,46,0,0,local police
male,,5,19,1,0,local police
male,,14,23,1,0,local police
female,,10,22,1,0,local police
male,,13,21,0,0,local police
female,190.0,24,21,1,1,local police
female,150.0,20,22,1,0,local police
male,,13,23,1,0,local police
female,,14,37,0,0,local police
male,,15,22,1,1,local police
male,,12,23,1,0,local police
female,,15,59,1,0,local police
female,,12,21,0,0,local police
male,175.0,25,26,1,0,local police
female,,13,43,1,0,local police
male,,10,21,0,0,state police
male,,13,22,1,0,local police
